2023-06-17 16:46:59,864 - INFO: Server started.
2023-06-17 16:46:59,864 - INFO: Action: Sending command - Command: command
2023-06-17 16:47:00,766 - ERROR: No response from drone for command: command
2023-06-17 16:47:00,767 - INFO: Action: Initiating Drone at 192.168.10.1
2023-06-17 16:47:01,769 - INFO: Action: Sending command - Command: streamon
2023-06-17 16:47:02,672 - ERROR: No response from drone for command: streamon
2023-06-17 16:47:02,672 - INFO: Action: Turning Stream On at 192.168.10.1
2023-06-17 16:47:02,673 - INFO: Action: Receiving response - Response: b'ok'
2023-06-17 16:47:02,674 - INFO: Action: Receiving response - Response: b'ok'
2023-06-17 16:47:02,678 - INFO: Starting video streaming.
2023-06-17 16:47:02,678 - INFO: Setting drone speed to 100 cm/s
2023-06-17 16:47:02,679 - INFO: Action: Sending command - Command: speed 100
2023-06-17 16:47:02,684 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,684 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,685 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,693 - INFO: [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.10.2:5000
2023-06-17 16:47:02,694 - INFO: [33mPress CTRL+C to quit[0m
2023-06-17 16:47:02,716 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,717 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,717 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,717 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,718 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,718 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,718 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,745 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,745 - INFO: Action: Receiving response - Response: b'ok'
2023-06-17 16:47:02,745 - INFO: Received video frame of size 746 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,746 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,749 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,750 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,750 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
